WKT,ID,Color,Bateria_Li,Res_NumPla
"MULTILINESTRING Z ((442542.0051 4471813.5137 0,442527.8449 4471830.6895 0))",2317710,Azul,Línea,4
"MULTILINESTRING Z ((440279.2092 4476594.0313 0,440278.742 4476577.6777 0))",2317723,Azul,Línea,3
"MULTILINESTRING Z ((442166.1557 4473151.3261 0,442186.4057 4473155.7011 0))",2317724,Azul,Línea,4
"MULTILINESTRING Z ((440273.8826 4476407.6002 0,440275.0975 4476460.6793 0))",2317729,Azul,Línea,10
"MULTILINESTRING Z ((440276.6861 4476509.5533 0,440276.2189 4476490.6765 0))",2317733,Azul,Línea,4
"MULTILINESTRING Z ((440271.4057 4476343.3261 0,440269.5723 4476282.7427 0))",2317735,Azul,Línea,12
"MULTILINESTRING Z ((442367.7809 4473119.4761 0,442370.1559 4473124.7261 0))",2317742,Azul,Línea,1
"MULTILINESTRING Z ((440267.1557 4476209.9094 0,440265.9057 4476194.2427 0))",2317745,Azul,Línea,3
"MULTILINESTRING Z ((442451.0723 4473193.7427 0,442461.239 4473192.7427 0))",2317756,Azul,Línea,2
"MULTILINESTRING Z ((442587.8395 4473176.9562 0,442593.0048 4473176.3364 0))",2317762,Azul,Línea,1
"MULTILINESTRING Z ((442649.4652 4473169.6999 0,442636.6029 4473170.7847 0))",2317764,Azul,Línea,2
"MULTILINESTRING Z ((442664.7225 4472394.1435 0,442668.3793 4472400.0507 0))",2317824,Azul,Batería,2
"MULTILINESTRING Z ((442658.008 4472400.8207 0,442648.5025 4472385.7219 0))",2317826,Azul,Batería,6
"MULTILINESTRING Z ((442669.7591 4472393.1518 0,442673.1948 4472398.0866 0))",2317828,Azul,Batería,2
"MULTILINESTRING Z ((442638.7133 4472385.6452 0,442658.1771 4472371.9251 0))",2317830,Azul,Batería,8
"MULTILINESTRING Z ((442636.9423 4472379.2258 0,442651.2908 4472368.9213 0))",2317832,Azul,Batería,6
"MULTILINESTRING Z ((442630.5993 4472376.2406 0,442650.0631 4472362.5204 0))",2317834,Azul,Batería,8
"MULTILINESTRING Z ((442186.9411 4472765.5208 0,442184.8577 4472761.5208 0))",2317836,Azul,Línea,1
"MULTILINESTRING Z ((442682.6056 4472424.3445 0,442669.089 4472404.7414 0))",2317844,Azul,Batería,8
"MULTILINESTRING Z ((442704.6967 4472456.0288 0,442691.1801 4472436.4257 0))",2317846,Azul,Batería,8
"MULTILINESTRING Z ((440930.7562 4476630.2921 0,440878.7578 4476633.8713 0))",2317877,Azul,Línea,10
"MULTILINESTRING Z ((443229.0624 4472813.2993 0,443219.2446 4472829.6308 0))",2317882,Azul,Línea,4
"MULTILINESTRING Z ((443166.5723 4472886.4329 0,443154.6557 4472869.4329 0))",2317892,Azul,Línea,4
"MULTILINESTRING Z ((440733.9105 4476295.3689 0,440758.0853 4476278.4757 0))",2317895,Azul,Línea,5
"MULTILINESTRING Z ((443226.5136 4472809.0512 0,443193.6617 4472863.4268 0))",2317900,Azul,Línea,13
"MULTILINESTRING Z ((440996.2762 4476625.3209 0,441012.0845 4476624.3267 0))",2317901,Azul,Línea,3
"MULTILINESTRING Z ((443251.0147 4472803.6988 0,443287.4458 4472825.8933 0))",2317904,Azul,Batería,17
"MULTILINESTRING Z ((441045.3913 4476621.8411 0,441034.753 4476622.6365 0))",2317905,Azul,Línea,2
"MULTILINESTRING Z ((440948.15 4476619.835 0,440946.5966 4476595.2395 0))",2317911,Azul,Línea,5
"MULTILINESTRING Z ((442745.7958 4472406.9759 0,442749.7911 4472412.8513 0))",2317922,Azul,Batería,3
"MULTILINESTRING Z ((442738.8628 4472396.8701 0,442744.7382 4472405.2132 0))",2317926,Azul,Batería,4
"MULTILINESTRING Z ((441164.6557 4476613.4329 0,441179.4057 4476612.3495 0))",2317927,Azul,Línea,3
"MULTILINESTRING Z ((442728.287 4472381.0064 0,442732.3998 4472386.8818 0))",2317928,Azul,Batería,3
"MULTILINESTRING Z ((441378.1824 4476472.3592 0,441378.1824 4476496.0486 0))",2317929,Azul,Línea,5
"MULTILINESTRING Z ((442719.3563 4472381.0064 0,442707.7229 4472364.5552 0))",2317932,Azul,Batería,8
"MULTILINESTRING Z ((441425.5198 4476508.3389 0,441412.8505 4476532.6581 0,441409.5012 4476536.1531 0,441395.23 4476547.3661 0))",2317933,Azul,Línea,10
"MULTILINESTRING Z ((442715.2435 4472362.0875 0,442725.2318 4472376.8936 0))",2317934,Azul,Batería,7
"MULTILINESTRING Z ((441376.739 4476414.0995 0,441376.739 4476423.3495 0))",2317935,Azul,Línea,2
